INJ_SLEEP,START,START_L0_RDTSC,count_have_ssh_check,count_recovered_vms,count_recovered_vms_ping,count_recovered_vms_solr,count_recovered_vms_ssh,count_recovered_vms_v2,crash_tstamp,fi_tstamp,l1_launch,manifestation,restore,start_time,vm1_downtime,vm1_dur_max,vm1_dur_mean,vm1_dur_median,vm1_dur_min,vm1_dur_q1,vm1_dur_q3,vm1_dur_std,vm1_dur_var,vm1_last_ans_ts,vm1_noresp_interval,vm1_recovered,vm1_recovered_ping,vm1_recovered_ssh,vm1_recv_reqs,vm1_sent_reqs,vm1_solr_started,vm1_tot_200,vm1_tot_500,vm1_tot_corrupted,vm1_tot_corrupted_on_200,vm1_tot_exceptions,vm1_tot_excp_conrefused,vm1_tot_excp_noroute,vm1_tot_excp_others,vm1_tot_excp_timedout,vm1_tot_nan,vm1_tot_non200,vm1_tot_othercodes,vm1_unique_clients,vm1_v2_recovered,vm2_downtime,vm2_dur_max,vm2_dur_mean,vm2_dur_median,vm2_dur_min,vm2_dur_q1,vm2_dur_q3,vm2_dur_std,vm2_dur_var,vm2_last_ans_ts,vm2_noresp_interval,vm2_recovered,vm2_recovered_ping,vm2_recovered_ssh,vm2_recv_reqs,vm2_sent_reqs,vm2_solr_started,vm2_tot_200,vm2_tot_500,vm2_tot_corrupted,vm2_tot_corrupted_on_200,vm2_tot_exceptions,vm2_tot_excp_conrefused,vm2_tot_excp_noroute,vm2_tot_excp_others,vm2_tot_excp_timedout,vm2_tot_nan,vm2_tot_non200,vm2_tot_othercodes,vm2_unique_clients,vm2_v2_recovered,vm3_downtime,vm3_dur_max,vm3_dur_mean,vm3_dur_median,vm3_dur_min,vm3_dur_q1,vm3_dur_q3,vm3_dur_std,vm3_dur_var,vm3_last_ans_ts,vm3_noresp_interval,vm3_recovered,vm3_recovered_ping,vm3_recovered_ssh,vm3_recv_reqs,vm3_sent_reqs,vm3_solr_started,vm3_tot_200,vm3_tot_500,vm3_tot_corrupted,vm3_tot_corrupted_on_200,vm3_tot_exceptions,vm3_tot_excp_conrefused,vm3_tot_excp_noroute,vm3_tot_excp_others,vm3_tot_excp_timedout,vm3_tot_nan,vm3_tot_non200,vm3_tot_othercodes,vm3_unique_clients,vm3_v2_recovered,vm4_downtime,vm4_dur_max,vm4_dur_mean,vm4_dur_median,vm4_dur_min,vm4_dur_q1,vm4_dur_q3,vm4_dur_std,vm4_dur_var,vm4_last_ans_ts,vm4_noresp_interval,vm4_recovered,vm4_recovered_ping,vm4_recovered_ssh,vm4_recv_reqs,vm4_sent_reqs,vm4_solr_started,vm4_tot_200,vm4_tot_500,vm4_tot_corrupted,vm4_tot_corrupted_on_200,vm4_tot_exceptions,vm4_tot_excp_conrefused,vm4_tot_excp_noroute,vm4_tot_excp_others,vm4_tot_excp_timedout,vm4_tot_nan,vm4_tot_non200,vm4_tot_othercodes,vm4_unique_clients,vm4_v2_recovered
207.691,1686089717000.0,391762799626472.0,4,1,2,2,3,2,1686090479026.0,1686090433000.0,47000.0,7.348082065582275,4205.0,1686089717000.0,,33.12351703643799,3.754160941915309,0.7209689617156982,0.0184969902038574,0.1082949638366699,2.952430963516236,7.902869218156751,62.45534187928951,1686090477.011805,349.4555790424347,0.0,True,True,141.0,141.0,True,123.0,0.0,18.0,0.0,18.0,0.0,10.0,0.0,8.0,18.0,18.0,0.0,1.0,True,289.18932795524603,33.990922927856445,2.473396878930467,2.16166090965271,0.0159661769866943,0.1918919086456298,2.716071844100952,4.549623892194008,20.699077560422552,1686090473.098475,,1.0,True,True,201.0,201.0,True,124.0,0.0,77.0,0.0,77.0,0.0,4.0,0.0,73.0,77.0,77.0,0.0,1.0,True,,30.0305290222168,2.36672055778872,2.367389917373657,0.0242190361022949,0.9433209896087646,2.7304335832595825,3.1698875055151454,10.048186797621034,1686090440.348082,385.2012119293213,0.0,False,False,207.0,207.0,True,99.0,0.0,108.0,0.0,108.0,0.0,2.0,0.0,106.0,108.0,108.0,0.0,1.0,False,,36.78146910667419,1.7624911558582408,0.7079498767852783,0.0026090145111083,0.0247421264648437,2.5629308223724365,3.5311779388255102,12.469217635647974,1686090471.778193,355.92417192459106,0.0,True,True,261.0,261.0,True,126.0,0.0,135.0,0.0,135.0,57.0,2.0,0.0,76.0,135.0,135.0,0.0,1.0,False
202.827,1686091026000.0,394635336955012.0,4,1,2,2,3,2,1686091764570.0,1686091713000.0,38000.0,12.280767917633057,4953.0,1686091026000.0,,31.42974805831909,2.4479557181348897,1.8053538799285889,0.019582986831665,0.3336480855941772,2.6575370430946346,4.444827616919372,19.75649254412913,1686091763.250685,243.34075498580933,0.0,True,True,202.0,202.0,True,127.0,0.0,75.0,0.0,75.0,0.0,4.0,0.0,71.0,75.0,75.0,0.0,1.0,True,343.30419993400574,30.034141778945926,2.2499017528674568,2.0686240196228027,0.0165441036224365,0.3653640747070313,2.6455729007720947,3.752387251945312,14.080410088561695,1686091763.703697,,1.0,True,True,217.0,217.0,True,133.0,0.0,84.0,0.0,84.0,0.0,3.0,0.0,81.0,84.0,84.0,0.0,1.0,True,,30.030457019805908,2.230826911576297,2.3484615087509155,0.0189681053161621,0.8128536939620972,2.738103330135345,2.438077593156973,5.9442223502540985,1686091725.280768,386.138384103775,0.0,False,False,218.0,218.0,True,100.0,0.0,118.0,0.0,118.0,0.0,1.0,0.0,117.0,118.0,118.0,0.0,1.0,False,,30.033936977386475,1.5673855451437144,0.1263680458068847,0.0023119449615478,0.0027418136596679,2.1307103037834167,3.99919161786357,15.99353359639024,1686091763.499663,349.15467286109924,0.0,True,True,286.0,286.0,True,135.0,0.0,151.0,0.0,151.0,101.0,4.0,0.0,46.0,151.0,151.0,0.0,1.0,False
207.699,1686092286000.0,397400893698508.0,4,2,3,2,3,2,1686093051739.0,1686093006000.0,44000.0,6.624027013778687,4273.0,1686092286000.0,,30.030351877212524,2.2172861371410493,2.2554938793182373,0.0193309783935546,0.3994365930557251,2.6753919124603267,3.1702531081170657,10.050504769525917,1686093012.624027,386.3652930259705,0.0,False,False,219.0,219.0,True,113.0,0.0,106.0,0.0,106.0,0.0,2.0,0.0,104.0,106.0,106.0,0.0,1.0,False,359.5043201446533,30.04142999649048,2.2341841227328616,2.18637490272522,0.0182399749755859,0.4201059341430664,2.7059500217437744,3.231191273446389,10.4405970455961,1686093051.548214,,1.0,True,True,221.0,221.0,True,126.0,0.0,95.0,0.0,95.0,0.0,1.0,0.0,94.0,95.0,95.0,0.0,1.0,True,340.01377606391907,30.034116983413696,2.4687189280986788,1.5920989513397217,0.0132179260253906,0.2112939357757568,2.6206706762313843,4.787439226132267,22.91957434390992,1686093050.59542,,1.0,True,True,200.0,200.0,True,138.0,0.0,62.0,0.0,62.0,0.0,4.0,0.0,58.0,62.0,62.0,0.0,1.0,True,,37.15819096565247,2.1197200201253974,0.4315595626831055,0.0025150775909423,0.0220648050308227,2.5975462198257446,5.07948819690045,25.801200342450983,1686093050.181152,349.66214299201965,0.0,True,True,226.0,226.0,True,126.0,0.0,100.0,0.0,100.0,53.0,4.0,0.0,43.0,100.0,100.0,0.0,1.0,False
203.567,1686093592000.0,400266883201482.0,4,2,2,3,3,3,1686094341476.0,1686094291000.0,43000.0,8.026174068450928,4228.0,1686093592000.0,,30.01147103309632,2.2675967904024352,2.2562038898468018,0.0196411609649658,0.7157319784164429,2.6762269735336304,2.775335144042497,7.702485161757388,1686094340.611261,348.7493841648102,0.0,True,True,215.0,215.0,True,114.0,0.0,101.0,0.0,101.0,0.0,1.0,0.0,100.0,101.0,101.0,0.0,1.0,True,,30.03695893287659,2.3098200768656074,2.3717570304870605,0.0242590904235839,0.8901675939559937,2.70562207698822,2.6369273544231087,6.953385872504855,1686094299.026174,387.8210558891296,0.0,False,False,211.0,211.0,True,93.0,0.0,118.0,0.0,118.0,0.0,1.0,0.0,117.0,118.0,118.0,0.0,1.0,False,344.20499300956726,45.26268601417542,2.5022267765469017,1.6208230257034302,0.0157759189605712,0.1739225387573242,2.655901908874512,5.205626909110597,27.098551516856336,1686094337.5102189,,1.0,True,True,198.0,198.0,True,137.0,0.0,61.0,0.0,61.0,0.0,3.0,0.0,58.0,61.0,61.0,0.0,1.0,True,324.41056299209595,31.85548496246338,2.347717629665393,1.1384811401367188,0.0137288570404052,0.2223680019378662,2.609699010848999,4.58236891729562,20.99810489419702,1686094339.7758029,,1.0,True,True,209.0,209.0,True,150.0,0.0,59.0,0.0,59.0,0.0,3.0,0.0,56.0,59.0,59.0,0.0,1.0,True
204.473,1686094865000.0,403061210129238.0,4,2,2,3,3,3,1686095606991.0,1686095556000.0,36000.0,10.471834897994995,4575.0,1686094865000.0,,34.018491983413696,2.5647367128391854,2.021638512611389,0.0194129943847656,0.2401036620140076,2.7101699113845825,4.865930305480696,23.677277737795468,1686095602.131484,350.116998910904,0.0,True,True,194.0,194.0,True,126.0,0.0,68.0,0.0,68.0,0.0,4.0,0.0,64.0,68.0,68.0,0.0,1.0,True,250.9834492206573,30.03618907928467,2.339639054531116,2.105740785598755,0.0183050632476806,0.3805720806121826,2.719519853591919,3.638757155068906,13.240553633565169,1686095606.703183,,1.0,True,True,209.0,209.0,True,131.0,0.0,78.0,0.0,78.0,0.0,2.0,0.0,76.0,78.0,78.0,0.0,1.0,True,,30.03332901000977,2.358333671322236,2.3711944818496704,0.0179870128631591,1.1622225046157837,2.7415431141853333,2.627746749485615,6.905052979432216,1686095566.471835,385.4865400791168,0.0,False,False,208.0,208.0,True,90.0,0.0,118.0,0.0,118.0,0.0,1.0,0.0,117.0,118.0,118.0,0.0,1.0,False,308.77260279655457,33.50183486938477,1.8305024866044053,1.241868495941162,0.0119001865386962,0.1331995129585266,2.6239261031150822,2.803567252401344,7.859989338737223,1686095603.2398946,,1.0,True,True,254.0,254.0,True,169.0,0.0,85.0,0.0,85.0,0.0,1.0,0.0,84.0,85.0,85.0,0.0,1.0,True
201.114,1686096135000.0,405848659846326.0,4,1,2,2,3,2,1686096865967.0,1686096813000.0,36000.0,13.33156704902649,4209.0,1686096135000.0,,31.62355899810791,2.2921143316886794,2.1030440330505367,0.0176360607147216,0.4609830379486084,2.6420109272003174,3.663829157354257,13.423644094279195,1686096863.780674,348.5253629684448,0.0,True,True,213.0,213.0,True,126.0,0.0,87.0,0.0,87.0,0.0,2.0,0.0,85.0,87.0,87.0,0.0,1.0,True,,30.03367614746093,2.257913313355557,2.071107149124145,0.0027220249176025,0.3346641063690185,2.690905928611756,3.6132216906292536,13.055370985633722,1686096864.173706,4.4328792095184335,0.0,True,True,215.0,215.0,True,128.0,0.0,87.0,0.0,87.0,8.0,2.0,0.0,77.0,87.0,87.0,0.0,1.0,False,,30.03339099884033,2.2536691239586584,2.2595314979553223,0.0171599388122558,0.369707703590393,2.6720104217529297,3.274227695728918,10.720567003478298,1686096826.331567,386.9349629878998,0.0,False,False,216.0,216.0,True,110.0,0.0,106.0,0.0,106.0,0.0,2.0,0.0,104.0,106.0,106.0,0.0,1.0,False,226.75014185905457,31.31822395324707,1.7968665291827013,0.7113630771636963,0.0125880241394042,0.0371241569519043,2.537853956222534,3.732657521684303,13.932732174186398,1686096863.531233,,1.0,True,True,257.0,257.0,True,196.0,0.0,61.0,0.0,61.0,0.0,3.0,0.0,58.0,61.0,61.0,0.0,1.0,True
202.436,1686097401000.0,408627056030516.0,4,1,2,1,2,1,1686098151341.0,1686098093000.0,35000.0,12.617341995239258,4796.0,1686097401000.0,,30.001867055892944,2.041349926565448,2.10522198677063,0.0192189216613769,0.3470664620399475,2.649776875972748,2.680431510025852,7.184713079939464,1686098147.712801,339.6534299850464,0.0,True,False,234.0,234.0,True,137.0,0.0,97.0,0.0,97.0,0.0,1.0,0.0,96.0,97.0,97.0,0.0,1.0,False,,33.099267959594734,2.047652161684159,2.1177680492401123,0.019827127456665,0.4450709819793701,2.646121025085449,2.7680178584247046,7.661922864558088,1686098148.036359,343.16828298568726,0.0,True,True,233.0,233.0,True,135.0,0.0,98.0,0.0,98.0,0.0,1.0,0.0,97.0,98.0,98.0,0.0,1.0,False,327.8266370296478,31.060822010040283,2.223721341255608,2.2223520278930664,0.0145900249481201,0.3721574544906616,2.714646100997925,3.2405421948670035,10.501113716713457,1686098148.5666132,,1.0,True,True,218.0,218.0,True,132.0,0.0,86.0,0.0,86.0,0.0,2.0,0.0,84.0,86.0,86.0,0.0,1.0,True,,30.03037190437317,2.599127918481827,2.3718334436416626,0.0187897682189941,0.9454385638237,2.7619680166244507,3.4070618265619013,11.608070290015318,1686098105.617342,385.8562920093536,0.0,False,False,192.0,192.0,True,86.0,0.0,106.0,0.0,106.0,0.0,2.0,0.0,104.0,106.0,106.0,0.0,1.0,False
203.048,1686098668000.0,411408269740852.0,4,1,2,1,3,1,1686099408217.0,1686099351000.0,37000.0,17.60331416130066,4419.0,1686098668000.0,,45.32713413238525,2.4426097905281745,2.0728518962860107,0.0177030563354492,0.3313897252082825,2.728685021400452,4.6469359375130574,21.59401360735036,1686099406.723464,341.64441108703613,0.0,True,True,202.0,202.0,True,129.0,0.0,73.0,0.0,73.0,0.0,3.0,0.0,70.0,73.0,73.0,0.0,1.0,False,,30.0305449962616,2.071373494672569,2.110512971878052,0.0170741081237792,0.4204515218734741,2.705407857894897,2.672201719902413,7.140662031849415,1686099407.8997948,342.01952505111694,0.0,True,True,231.0,231.0,True,133.0,0.0,98.0,0.0,98.0,1.0,1.0,0.0,96.0,98.0,98.0,0.0,1.0,False,,30.030507802963253,2.5488189208201875,2.373729944229126,0.0194718837738037,1.035228967666626,2.7365870475769043,3.357075920306182,11.2699587346996,1686099368.6033142,379.8849971294403,0.0,False,False,195.0,195.0,True,91.0,0.0,104.0,0.0,104.0,0.0,2.0,0.0,102.0,104.0,104.0,0.0,1.0,False,331.72538590431213,31.797884941101078,1.9471739195595104,1.807267427444458,0.0137560367584228,0.1815130114555359,2.642653703689575,3.112592476692252,9.6882319259612,1686099405.49814,,1.0,True,True,242.0,242.0,True,157.0,0.0,85.0,0.0,85.0,0.0,1.0,0.0,84.0,85.0,85.0,0.0,1.0,True
208.667,1686099936000.0,414191531272624.0,4,1,3,1,2,1,1686100678354.0,1686100625000.0,35000.0,9.231745004653929,4313.0,1686099936000.0,,30.04221105575561,2.5197154858390687,2.3098080158233643,0.0147700309753417,0.6201760768890381,2.718636989593506,3.5194793275859646,12.386734737304954,1686100634.231745,382.2005710601807,0.0,False,False,197.0,197.0,True,95.0,0.0,102.0,0.0,102.0,0.0,2.0,0.0,100.0,102.0,102.0,0.0,1.0,False,,30.03396201133728,2.089943233780239,2.144713044166565,0.0167269706726074,0.4207738041877746,2.7167455554008484,3.060886849162092,9.36902830337344,1686100674.911834,344.0230278968811,0.0,True,True,230.0,230.0,True,135.0,0.0,95.0,0.0,95.0,0.0,2.0,0.0,93.0,95.0,95.0,0.0,1.0,False,344.0975749492645,49.15663504600525,2.8536715802181973,1.2282774448394775,0.0190660953521728,0.1695495843887329,2.617369949817657,6.480776492974043,42.000463951884925,1686100677.8402538,,1.0,True,True,178.0,178.0,True,132.0,0.0,46.0,0.0,46.0,0.0,5.0,0.0,41.0,46.0,46.0,0.0,1.0,True,,31.402825832366943,2.382857775246656,2.159486532211304,0.0180239677429199,0.4612456560134888,2.72314453125,3.8292941184917786,14.663493445915725,1686100676.717437,341.75616788864136,0.0,True,False,216.0,216.0,True,127.0,0.0,89.0,0.0,89.0,0.0,3.0,0.0,86.0,89.0,89.0,0.0,1.0,False
205.725,1686101287000.0,417155227778202.0,4,1,2,2,3,2,1686102039813.0,1686101979000.0,36000.0,4.1922550201416025,4245.0,1686101287000.0,,33.08461689949036,2.1765396745355283,2.1737265586853027,0.0167489051818847,0.3996019959449768,2.70670622587204,2.971197726361033,8.828015929132974,1686102036.760453,335.5138950347901,0.0,True,True,222.0,222.0,True,126.0,0.0,96.0,0.0,96.0,0.0,1.0,0.0,95.0,96.0,96.0,0.0,1.0,False,,34.49292898178101,2.0332626899083457,2.099875569343567,0.0137109756469726,0.2553551793098449,2.638810217380524,2.9223889274332,8.54035704318417,1686102033.683567,338.54117393493647,0.0,True,True,234.0,234.0,True,138.0,0.0,96.0,0.0,96.0,0.0,1.0,0.0,95.0,96.0,96.0,0.0,1.0,True,,30.038445949554443,2.2478305667226763,2.25832200050354,0.0162651538848876,0.4574098587036133,2.669734001159668,3.201161110814512,10.247432457391197,1686101983.192255,392.10998606681824,0.0,False,False,217.0,217.0,True,109.0,0.0,108.0,0.0,108.0,0.0,2.0,0.0,106.0,108.0,108.0,0.0,1.0,False,340.2336139678955,32.63071703910828,2.2791180075886093,2.119974493980408,0.0184509754180908,0.3310309648513794,2.714571595191956,3.45874297774005,11.962902986066108,1686102036.343807,,1.0,True,True,214.0,214.0,True,127.0,0.0,87.0,0.0,87.0,0.0,1.0,0.0,86.0,87.0,87.0,0.0,1.0,True
